"module name", "license", "repository", "version"
"@babel/code-frame", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-code-frame", 7.8.3
"@babel/compat-data", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-compat-data", 7.9.0
"@babel/core", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-core", 7.8.4
"@babel/generator", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-generator", 7.9.0
"@babel/helper-annotate-as-pure", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-annotate-as-pure", 7.8.3
"@babel/helper-builder-binary-assignment-operator-visitor", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor", 7.8.3
"@babel/helper-builder-react-jsx-experimental", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-builder-react-jsx-experimental", 7.9.5
"@babel/helper-builder-react-jsx", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-builder-react-jsx", 7.9.0
"@babel/helper-compilation-targets", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-compilation-targets", 7.8.7
"@babel/helper-create-class-features-plugin", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-create-class-features-plugin", 7.9.5
"@babel/helper-create-regexp-features-plugin", "MIT", "https://github.com/babel/babel", 7.8.8
"@babel/helper-define-map", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-define-map", 7.8.3
"@babel/helper-explode-assignable-expression", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression", 7.8.3
"@babel/helper-function-name", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-function-name", 7.9.5
"@babel/helper-get-function-arity", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity", 7.8.3
"@babel/helper-hoist-variables", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables", 7.8.3
"@babel/helper-member-expression-to-functions", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-member-expression-to-functions", 7.8.3
"@babel/helper-module-imports", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-module-imports", 7.8.3
"@babel/helper-module-transforms", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-module-transforms", 7.9.0
"@babel/helper-optimise-call-expression", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression", 7.8.3
"@babel/helper-plugin-utils", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils", 7.8.3
"@babel/helper-regex", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-regex", 7.8.3
"@babel/helper-remap-async-to-generator", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator", 7.8.3
"@babel/helper-replace-supers", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers", 7.8.6
"@babel/helper-simple-access", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-simple-access", 7.8.3
"@babel/helper-split-export-declaration", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration", 7.8.3
"@babel/helper-validator-identifier", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helper-validator-identifier", 7.9.5
"@babel/helpers", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-helpers", 7.9.2
